new_formula,composition_vector,is_superconductor
Gd2Mg1Si2,"[64, 2.0, 12, 1.0, 14, 2.0]",1
Tb2Mg1Si2,"[65, 2.0, 12, 1.0, 14, 2.0]",1
Dy2Mg1Si2,"[66, 2.0, 12, 1.0, 14, 2.0]",1
Ho2Mg1Si2,"[67, 2.0, 12, 1.0, 14, 2.0]",1
Er2Mg1Si2,"[68, 2.0, 12, 1.0, 14, 2.0]",1
Tm2Mg1Si2,"[69, 2.0, 12, 1.0, 14, 2.0]",1
Mg1Si7Ir3,"[12, 1.0, 14, 7.0, 77, 3.0]",1
Mg1P1S3,"[12, 1.0, 15, 1.0, 16, 3.0]",1
K1Mg1P1,"[19, 1.0, 12, 1.0, 15, 1.0]",1
Mg1Ni2P1,"[12, 1.0, 28, 2.0, 15, 1.0]",1
Mg1Cu1P1,"[12, 1.0, 29, 1.0, 15, 1.0]",1
Mg1P1Se3,"[12, 1.0, 15, 1.0, 34, 3.0]",1
Mg1P1Pd5,"[12, 1.0, 15, 1.0, 46, 5.0]",1
Mg1P1Pt5,"[12, 1.0, 15, 1.0, 78, 5.0]",1
K2Mg1P2Se6,"[19, 2.0, 12, 1.0, 15, 2.0, 34, 6.0]",1
Mg1P4,"[12, 1.0, 15, 4.0]",1
Mg1Co6P4,"[12, 1.0, 27, 6.0, 15, 4.0]",1
Mg1S1,"[12, 1.0, 16, 1.0]",1
Mg1Sc2S4,"[12, 1.0, 21, 2.0, 16, 4.0]",1
Mg1Ga2S4,"[12, 1.0, 31, 2.0, 16, 4.0]",1
Mg1In2S4,"[12, 1.0, 49, 2.0, 16, 4.0]",1
Lu2Mg1S4,"[71, 2.0, 12, 1.0, 16, 4.0]",1
Mg1Cl2,"[12, 1.0, 17, 2.0]",1
Rb1Mg1Cl3,"[37, 1.0, 12, 1.0, 17, 3.0]",1
Cs1Mg1Cl3,"[55, 1.0, 12, 1.0, 17, 3.0]",1
K2Mg1Cl4,"[19, 2.0, 12, 1.0, 17, 4.0]",1
Rb2Mg1Cl4,"[37, 2.0, 12, 1.0, 17, 4.0]",1
K1Mg1As1,"[19, 1.0, 12, 1.0, 33, 1.0]",1
K1Mg1Sb1,"[19, 1.0, 12, 1.0, 51, 1.0]",1
K1Mg1Bi1,"[19, 1.0, 12, 1.0, 83, 1.0]",0
Ca1Mg1Ge1,"[20, 1.0, 12, 1.0, 32, 1.0]",1
Ca1Mg1Pd1,"[20, 1.0, 12, 1.0, 46, 1.0]",1
Ca1Mg1Sn1,"[20, 1.0, 12, 1.0, 50, 1.0]",1
Ca1Mg1Pb1,"[20, 1.0, 12, 1.0, 82, 1.0]",1
Ca2Mg1Pd2,"[20, 2.0, 12, 1.0, 46, 2.0]",1
Ca2Mg1Pt2,"[20, 2.0, 12, 1.0, 78, 2.0]",1
Mg1H2,"[12, 1.0, 1, 2.0]",1
Mg1Sc1,"[12, 1.0, 21, 1.0]",1
Mg1Sc2Ga2,"[12, 1.0, 21, 2.0, 31, 2.0]",1
Mg1Sc2Ru1,"[12, 1.0, 21, 2.0, 44, 1.0]",1
Mg1Sc3Ru2,"[12, 1.0, 21, 3.0, 44, 2.0]",1
Mg1Mn1Ge1,"[12, 1.0, 25, 1.0, 32, 1.0]",1
Mg1Mn6Ge6,"[12, 1.0, 25, 6.0, 32, 6.0]",1
Ce1Mg12,"[58, 1.0, 12, 12.0]",1
Mg1Fe6Ge6,"[12, 1.0, 26, 6.0, 32, 6.0]",1
Mg1Co1Ge1,"[12, 1.0, 27, 1.0, 32, 1.0]",1
Y4Mg1Co1,"[39, 4.0, 12, 1.0, 27, 1.0]",1
La4Mg1Co1,"[57, 4.0, 12, 1.0, 27, 1.0]",1
Pr4Mg1Co1,"[59, 4.0, 12, 1.0, 27, 1.0]",1
Nd4Mg1Co1,"[60, 4.0, 12, 1.0, 27, 1.0]",1
Tb4Mg1Co1,"[65, 4.0, 12, 1.0, 27, 1.0]",1
Dy4Mg1Co1,"[66, 4.0, 12, 1.0, 27, 1.0]",1
Ho4Mg1Co1,"[67, 4.0, 12, 1.0, 27, 1.0]",1
Er4Mg1Co1,"[68, 4.0, 12, 1.0, 27, 1.0]",1
Tm4Mg1Co1,"[69, 4.0, 12, 1.0, 27, 1.0]",1
Mg1Co4Ge6,"[12, 1.0, 27, 4.0, 32, 6.0]",1
Tb1Mg1Co4,"[65, 1.0, 12, 1.0, 27, 4.0]",1
Mg1Ni1Ge1,"[12, 1.0, 28, 1.0, 32, 1.0]",1
Y4Mg1Ni1,"[39, 4.0, 12, 1.0, 28, 1.0]",1
Mg1Ni1Sb1,"[12, 1.0, 28, 1.0, 51, 1.0]",1
Tb4Mg1Ni1,"[65, 4.0, 12, 1.0, 28, 1.0]",1
Dy4Mg1Ni1,"[66, 4.0, 12, 1.0, 28, 1.0]",1
Ho4Mg1Ni1,"[67, 4.0, 12, 1.0, 28, 1.0]",1
Er4Mg1Ni1,"[68, 4.0, 12, 1.0, 28, 1.0]",1
Tm4Mg1Ni1,"[69, 4.0, 12, 1.0, 28, 1.0]",1
Lu4Mg1Ni1,"[71, 4.0, 12, 1.0, 28, 1.0]",1
Mg1Ni1Bi1,"[12, 1.0, 28, 1.0, 83, 1.0]",0
Mg1Ni2,"[12, 1.0, 28, 2.0]",1
Mg1In1Ni2,"[12, 1.0, 49, 1.0, 28, 2.0]",1
Mg1Ni2Sn1,"[12, 1.0, 28, 2.0, 50, 1.0]",1
