new_formula,composition_vector,is_superconductor
Ba1Ca1P2H2O8,"[56, 1.0, 20, 1.0, 15, 2.0, 1, 2.0, 8, 8.0]",1
Ca1Sb2H2F14,"[20, 1.0, 51, 2.0, 1, 2.0, 9, 14.0]",1
Ca1H2F4,"[20, 1.0, 1, 2.0, 9, 4.0]",1
Ca1Al1Si1,"[20, 1.0, 13, 1.0, 14, 1.0]",1
Ca11Al1Sb9,"[20, 11.0, 13, 1.0, 51, 9.0]",1
Ca14Al1Sb11,"[20, 14.0, 13, 1.0, 51, 11.0]",1
Ca1Al1Pd1,"[20, 1.0, 13, 1.0, 46, 1.0]",1
Ca1Al1Pt1,"[20, 1.0, 13, 1.0, 78, 1.0]",1
Ca1Al1Au1,"[20, 1.0, 13, 1.0, 79, 1.0]",1
Ca2Al1Pd2,"[20, 2.0, 13, 1.0, 46, 2.0]",1
Ca2Al1Pt2,"[20, 2.0, 13, 1.0, 78, 2.0]",1
Ca3Al1As3,"[20, 3.0, 13, 1.0, 33, 3.0]",1
Ca3Al1Sb3,"[20, 3.0, 13, 1.0, 51, 3.0]",1
Ca13Al14,"[20, 13.0, 13, 14.0]",1
Ca1Ni1H3,"[20, 1.0, 28, 1.0, 1, 3.0]",1
Ca1H3Pd1,"[20, 1.0, 1, 3.0, 46, 1.0]",1
Ca1Al2Si2,"[20, 1.0, 13, 2.0, 14, 2.0]",1
Ca3Al2P4,"[20, 3.0, 13, 2.0, 15, 4.0]",1
Ca1Al2S4,"[20, 1.0, 13, 2.0, 16, 4.0]",1
Ca1Al2Cl8,"[20, 1.0, 13, 2.0, 17, 8.0]",1
Ca1Al2,"[20, 1.0, 13, 2.0]",1
Ca1Al2Zn2,"[20, 1.0, 13, 2.0, 30, 2.0]",1
Ca1Al2Ga2,"[20, 1.0, 13, 2.0, 31, 2.0]",1
Ca1Al2Ge2,"[20, 1.0, 13, 2.0, 32, 2.0]",1
Ca3Al2Ge2,"[20, 3.0, 13, 2.0, 32, 2.0]",1
Ca3Al2Ge3,"[20, 3.0, 13, 2.0, 32, 3.0]",1
Ca3Al2As4,"[20, 3.0, 13, 2.0, 33, 4.0]",1
Ca5Al2Sb6,"[20, 5.0, 13, 2.0, 51, 6.0]",1
Li1Ca7Ge3H3,"[3, 1.0, 20, 7.0, 32, 3.0, 1, 3.0]",1
Ca8Al3,"[20, 8.0, 13, 3.0]",1
Ca1Al4,"[20, 1.0, 13, 4.0]",1
Ca6Al43W4,"[20, 6.0, 13, 43.0, 74, 4.0]",1
Ca1B3H3O7,"[20, 1.0, 5, 3.0, 1, 3.0, 8, 7.0]",1
Ca1H3N1O5,"[20, 1.0, 1, 3.0, 7, 1.0, 8, 5.0]",1
Ca3Al7Cu2,"[20, 3.0, 13, 7.0, 29, 2.0]",1
Ca3Al7Ag2,"[20, 3.0, 13, 7.0, 47, 2.0]",1
Ca1Al8Fe4,"[20, 1.0, 13, 8.0, 26, 4.0]",1
Ca1Al8Co2,"[20, 1.0, 13, 8.0, 27, 2.0]",1
Ca1Al8Cu4,"[20, 1.0, 13, 8.0, 29, 4.0]",1
Ca2Al3H3O8,"[20, 2.0, 13, 3.0, 1, 3.0, 8, 8.0]",1
Ca1Al9Co2,"[20, 1.0, 13, 9.0, 27, 2.0]",1
Ca1Al9Ni1,"[20, 1.0, 13, 9.0, 28, 1.0]",1
Ca4Si1P4,"[20, 4.0, 14, 1.0, 15, 4.0]",1
Ca2Si1S4,"[20, 2.0, 14, 1.0, 16, 4.0]",1
Ca1Si1,"[20, 1.0, 14, 1.0]",1
Ca1Si1Ni2,"[20, 1.0, 14, 1.0, 28, 2.0]",1
Ca1Zn1Si1,"[20, 1.0, 30, 1.0, 14, 1.0]",1
