new_formula,composition_vector,is_superconductor
Mg3Ti1Ni2,"[12, 3.0, 22, 1.0, 28, 2.0]",1
Tb2Mg3Ni2,"[65, 2.0, 12, 3.0, 28, 2.0]",1
La23Mg4Ni7,"[57, 23.0, 12, 4.0, 28, 7.0]",1
Pr23Mg4Ni7,"[59, 23.0, 12, 4.0, 28, 7.0]",1
Nd23Mg4Ni7,"[60, 23.0, 12, 4.0, 28, 7.0]",1
U2Ni1P2H24O24,"[92, 2.0, 28, 1.0, 15, 2.0, 1, 24.0, 8, 24.0]",1
Mg5Ni9P7,"[12, 5.0, 28, 9.0, 15, 7.0]",1
Mg6Si7Ni16,"[12, 6.0, 14, 7.0, 28, 16.0]",1
Mg6Ni16Ge7,"[12, 6.0, 28, 16.0, 32, 7.0]",1
Mg6Ni16As7,"[12, 6.0, 28, 16.0, 33, 7.0]",1
Ba1V2Ni3H2O10,"[56, 1.0, 23, 2.0, 28, 3.0, 1, 2.0, 8, 10.0]",1
Ni3H2Se3O10,"[28, 3.0, 1, 2.0, 34, 3.0, 8, 10.0]",1
Ni3Ag1P3H2O12,"[28, 3.0, 47, 1.0, 15, 3.0, 1, 2.0, 8, 12.0]",1
Ni5H2Se6Cl4O16,"[28, 5.0, 1, 2.0, 34, 6.0, 17, 4.0, 8, 16.0]",1
K1Ni1P1H2O5,"[19, 1.0, 28, 1.0, 15, 1.0, 1, 2.0, 8, 5.0]",1
Ni1H2S1O5,"[28, 1.0, 1, 2.0, 16, 1.0, 8, 5.0]",1
Ni1H2Se1O5,"[28, 1.0, 1, 2.0, 34, 1.0, 8, 5.0]",1
Ni1P2H2O7,"[28, 1.0, 15, 2.0, 1, 2.0, 8, 7.0]",1
Sc1Al1Ni2,"[21, 1.0, 13, 1.0, 28, 2.0]",1
Ti1Al1Ni2,"[22, 1.0, 13, 1.0, 28, 2.0]",1
Mn1Al1Ni2,"[25, 1.0, 13, 1.0, 28, 2.0]",1
Al1Ni1,"[13, 1.0, 28, 1.0]",1
Y1Al1Ni1,"[39, 1.0, 13, 1.0, 28, 1.0]",1
Zr1Al1Ni1,"[40, 1.0, 13, 1.0, 28, 1.0]",1
La1Al1Ni1,"[57, 1.0, 13, 1.0, 28, 1.0]",1
Ce1Al1Ni1,"[58, 1.0, 13, 1.0, 28, 1.0]",1
Pr1Al1Ni1,"[59, 1.0, 13, 1.0, 28, 1.0]",1
Nd1Al1Ni1,"[60, 1.0, 13, 1.0, 28, 1.0]",1
Gd1Al1Ni1,"[64, 1.0, 13, 1.0, 28, 1.0]",1
Tb1Al1Ni1,"[65, 1.0, 13, 1.0, 28, 1.0]",1
Dy1Al1Ni1,"[66, 1.0, 13, 1.0, 28, 1.0]",1
Ho1Al1Ni1,"[67, 1.0, 13, 1.0, 28, 1.0]",1
Er1Al1Ni1,"[68, 1.0, 13, 1.0, 28, 1.0]",1
Tm1Al1Ni1,"[69, 1.0, 13, 1.0, 28, 1.0]",0
Lu1Al1Ni1,"[71, 1.0, 13, 1.0, 28, 1.0]",1
Hf1Al1Ni1,"[72, 1.0, 13, 1.0, 28, 1.0]",1
Th1Al1Ni1,"[90, 1.0, 13, 1.0, 28, 1.0]",0
Zr1Al1Ni2,"[40, 1.0, 13, 1.0, 28, 2.0]",1
Nd2Al1Ni2,"[60, 2.0, 13, 1.0, 28, 2.0]",1
Sm2Al1Ni2,"[62, 2.0, 13, 1.0, 28, 2.0]",1
Gd2Al1Ni2,"[64, 2.0, 13, 1.0, 28, 2.0]",1
Tb2Al1Ni2,"[65, 2.0, 13, 1.0, 28, 2.0]",1
Er2Al1Ni2,"[68, 2.0, 13, 1.0, 28, 2.0]",1
Tm2Al1Ni2,"[69, 2.0, 13, 1.0, 28, 2.0]",1
Lu2Al1Ni2,"[71, 2.0, 13, 1.0, 28, 2.0]",1
Hf1Al1Ni2,"[72, 1.0, 13, 1.0, 28, 2.0]",0
Al1Ni3,"[13, 1.0, 28, 3.0]",1
Dy3Al1Ni8,"[66, 3.0, 13, 1.0, 28, 8.0]",1
La2Al1Ni9,"[57, 2.0, 13, 1.0, 28, 9.0]",1
Ti6Al16Ni7,"[22, 6.0, 13, 16.0, 28, 7.0]",1
