new_formula,composition_vector,is_superconductor
Li2H4S3O12,"[3, 2.0, 1, 4.0, 16, 3.0, 8, 12.0]",1
Li3H4Rh1,"[3, 3.0, 1, 4.0, 45, 1.0]",1
Li4H4Rh1,"[3, 4.0, 1, 4.0, 45, 1.0]",1
Li3Mg1Zn5B15H60,"[3, 3.0, 12, 1.0, 30, 5.0, 5, 15.0, 1, 60.0]",0
Na2Li1Al1H6,"[11, 2.0, 3, 1.0, 13, 1.0, 1, 6.0]",1
Li1Mg1Al1H6,"[3, 1.0, 12, 1.0, 13, 1.0, 1, 6.0]",1
Li1Mg1H6Ir1,"[3, 1.0, 12, 1.0, 1, 6.0, 77, 1.0]",1
K2Li1Al1H6,"[19, 2.0, 3, 1.0, 13, 1.0, 1, 6.0]",1
Li1B6H6,"[3, 1.0, 5, 6.0, 1, 6.0]",1
K2Li1H6N3,"[19, 2.0, 3, 1.0, 1, 6.0, 7, 3.0]",1
Li1Sn1H6N3,"[3, 1.0, 50, 1.0, 1, 6.0, 7, 3.0]",1
Li1Mn3H6Se8O24,"[3, 1.0, 25, 3.0, 1, 6.0, 34, 8.0, 8, 24.0]",1
Li1Al2H6Cl1O6,"[3, 1.0, 13, 2.0, 1, 6.0, 17, 1.0, 8, 6.0]",1
Li1Tc1H6O7,"[3, 1.0, 43, 1.0, 1, 6.0, 8, 7.0]",1
Li2H6Pt1,"[3, 2.0, 1, 6.0, 78, 1.0]",1
Li3Al1H6,"[3, 3.0, 13, 1.0, 1, 6.0]",1
Li3H6Rh1,"[3, 3.0, 1, 6.0, 45, 1.0]",1
Li3H6Ir1,"[3, 3.0, 1, 6.0, 77, 1.0]",1
Li4H6Ru1,"[3, 4.0, 1, 6.0, 44, 1.0]",1
Li4H6Os1,"[3, 4.0, 1, 6.0, 76, 1.0]",1
Li1Mg2H7Ru1,"[3, 1.0, 12, 2.0, 1, 7.0, 44, 1.0]",1
Li1Ga1H8N4,"[3, 1.0, 31, 1.0, 1, 8.0, 7, 4.0]",1
Li1U1P1H8O10,"[3, 1.0, 92, 1.0, 15, 1.0, 1, 8.0, 8, 10.0]",0
Na1Li3H8N4,"[11, 1.0, 3, 3.0, 1, 8.0, 7, 4.0]",1
