new_formula,composition_vector,is_superconductor
Li1B5H2O9,"[3, 1.0, 5, 5.0, 1, 2.0, 8, 9.0]",1
Li3B5H2O10,"[3, 3.0, 5, 5.0, 1, 2.0, 8, 10.0]",1
Cu1B1P4H24C8S4F4,"[29, 1.0, 5, 1.0, 15, 4.0, 1, 24.0, 6, 8.0, 16, 4.0, 9, 4.0]",1
Na1Mn2Si3B1H2O11,"[11, 1.0, 25, 2.0, 14, 3.0, 5, 1.0, 1, 2.0, 8, 11.0]",1
B1H2O1F3,"[5, 1.0, 1, 2.0, 8, 1.0, 9, 3.0]",1
Ag1B1H2O1F4,"[47, 1.0, 5, 1.0, 1, 2.0, 8, 1.0, 9, 4.0]",1
K1Mn1B1P2H2O9,"[19, 1.0, 25, 1.0, 5, 1.0, 15, 2.0, 1, 2.0, 8, 9.0]",1
Rb3B2P3H2O13,"[37, 3.0, 5, 2.0, 15, 3.0, 1, 2.0, 8, 13.0]",1
Mn4Si4Sn1B2H2O18,"[25, 4.0, 14, 4.0, 50, 1.0, 5, 2.0, 1, 2.0, 8, 18.0]",1
Na3B3H2O7,"[11, 3.0, 5, 3.0, 1, 2.0, 8, 7.0]",1
Ce1B4H2Cl1O8,"[58, 1.0, 5, 4.0, 1, 2.0, 17, 1.0, 8, 8.0]",1
Sr3B6H2O13,"[38, 3.0, 5, 6.0, 1, 2.0, 8, 13.0]",1
Ba3B6H2O13,"[56, 3.0, 5, 6.0, 1, 2.0, 8, 13.0]",1
Ca2B8H2O15,"[20, 2.0, 5, 8.0, 1, 2.0, 8, 15.0]",1
B2H26C8N20Cl2O1,"[5, 2.0, 1, 26.0, 6, 8.0, 7, 20.0, 17, 2.0, 8, 1.0]",0
B1H3N1F3,"[5, 1.0, 1, 3.0, 7, 1.0, 9, 3.0]",1
B1H3O1F4,"[5, 1.0, 1, 3.0, 8, 1.0, 9, 4.0]",1
B1H3O3,"[5, 1.0, 1, 3.0, 8, 3.0]",1
K3Cu1B2P4H3O17,"[19, 3.0, 29, 1.0, 5, 2.0, 15, 4.0, 1, 3.0, 8, 17.0]",1
Ba2B2As1H3F18,"[56, 2.0, 5, 2.0, 33, 1.0, 1, 3.0, 9, 18.0]",1
Ca1B3H3O7,"[20, 1.0, 5, 3.0, 1, 3.0, 8, 7.0]",1
Ba1Al1B4H3O10,"[56, 1.0, 13, 1.0, 5, 4.0, 1, 3.0, 8, 10.0]",1
Ba1Ga1B4H3O10,"[56, 1.0, 31, 1.0, 5, 4.0, 1, 3.0, 8, 10.0]",1
Li1B1H4,"[3, 1.0, 5, 1.0, 1, 4.0]",1
K4B10H4O19,"[19, 4.0, 5, 10.0, 1, 4.0, 8, 19.0]",1
Na1B1H4,"[11, 1.0, 5, 1.0, 1, 4.0]",1
K1B1H4,"[19, 1.0, 5, 1.0, 1, 4.0]",1
B1P1H4N1O4F1,"[5, 1.0, 15, 1.0, 1, 4.0, 7, 1.0, 8, 4.0, 9, 1.0]",1
Zn1B1P2H4N1O8,"[30, 1.0, 5, 1.0, 15, 2.0, 1, 4.0, 7, 1.0, 8, 8.0]",1
B1H4N1F4,"[5, 1.0, 1, 4.0, 7, 1.0, 9, 4.0]",1
B1H4O2F3,"[5, 1.0, 1, 4.0, 8, 2.0, 9, 3.0]",1
B3H4N1O5,"[5, 3.0, 1, 4.0, 7, 1.0, 8, 5.0]",1
Na1B3H4O7,"[11, 1.0, 5, 3.0, 1, 4.0, 8, 7.0]",1
Na3B3H4O8,"[11, 3.0, 5, 3.0, 1, 4.0, 8, 8.0]",1
Ca2B3H4Cl1O8,"[20, 2.0, 5, 3.0, 1, 4.0, 17, 1.0, 8, 8.0]",1
B5H4N1O8,"[5, 5.0, 1, 4.0, 7, 1.0, 8, 8.0]",1
Na1B5H4O10,"[11, 1.0, 5, 5.0, 1, 4.0, 8, 10.0]",1
K1B6P1H4O14,"[19, 1.0, 5, 6.0, 15, 1.0, 1, 4.0, 8, 14.0]",1
Ca1B8H4O15,"[20, 1.0, 5, 8.0, 1, 4.0, 8, 15.0]",1
Ba1B8H4O15,"[56, 1.0, 5, 8.0, 1, 4.0, 8, 15.0]",1
B8H4Pb1O15,"[5, 8.0, 1, 4.0, 82, 1.0, 8, 15.0]",0
V1B1P2H5N1O9,"[23, 1.0, 5, 1.0, 15, 2.0, 1, 5.0, 7, 1.0, 8, 9.0]",1
In1B1P2H5N1O9,"[49, 1.0, 5, 1.0, 15, 2.0, 1, 5.0, 7, 1.0, 8, 9.0]",1
B1H5O2F4,"[5, 1.0, 1, 5.0, 8, 2.0, 9, 4.0]",1
Cs1B2H5O6,"[55, 1.0, 5, 2.0, 1, 5.0, 8, 6.0]",1
B5H5C1I1,"[5, 5.0, 1, 5.0, 6, 1.0, 53, 1.0]",1
La1B5H5N1O14,"[57, 1.0, 5, 5.0, 1, 5.0, 7, 1.0, 8, 14.0]",1
Rb2B7H5O14,"[37, 2.0, 5, 7.0, 1, 5.0, 8, 14.0]",1
Li3Mg1Zn5B15H60,"[3, 3.0, 12, 1.0, 30, 5.0, 5, 15.0, 1, 60.0]",0
Li1B6H6,"[3, 1.0, 5, 6.0, 1, 6.0]",1
K2B10H6O19,"[19, 2.0, 5, 10.0, 1, 6.0, 8, 19.0]",1
Rb2B10H6O19,"[37, 2.0, 5, 10.0, 1, 6.0, 8, 19.0]",1
Ag1B11H6C1Br6,"[47, 1.0, 5, 11.0, 1, 6.0, 6, 1.0, 35, 6.0]",1
