new_formula,composition_vector
Nd1Ba1Sr1Cu3O7,"[60, 1.0, 56, 1.0, 38, 1.0, 29, 3.0, 8, 7.0]"
Sm1Ba1Sr1Cu3O7,"[62, 1.0, 56, 1.0, 38, 1.0, 29, 3.0, 8, 7.0]"
Eu1Ba1Sr1Cu3O7,"[63, 1.0, 56, 1.0, 38, 1.0, 29, 3.0, 8, 7.0]"
Hg1Ba2Ca2Cu3O8,"[80, 1.0, 56, 2.0, 20, 2.0, 29, 3.0, 8, 8.0]"
Pr1Ba2Cu4O8,"[59, 1.0, 56, 2.0, 29, 4.0, 8, 8.0]"
La1Nd1Cu1O4,"[57, 1.0, 60, 1.0, 29, 1.0, 8, 4.0]"
Tl1Sr2Ca1Cu2O7,"[81, 1.0, 38, 2.0, 20, 1.0, 29, 2.0, 8, 7.0]"
Sr2Cu1C1O5,"[38, 2.0, 29, 1.0, 6, 1.0, 8, 5.0]"
Tl1Ba2Ca3Cu4O11,"[81, 1.0, 56, 2.0, 20, 3.0, 29, 4.0, 8, 11.0]"
Tm2Cu1O4,"[69, 2.0, 29, 1.0, 8, 4.0]"
Hg1Ba2Ca1Cu2O6,"[80, 1.0, 56, 2.0, 20, 1.0, 29, 2.0, 8, 6.0]"
Ba2Pb1O4,"[56, 2.0, 82, 1.0, 8, 4.0]"
Nb1O2,"[41, 1.0, 8, 2.0]"
Sr2Cu1F2O2,"[38, 2.0, 29, 1.0, 9, 2.0, 8, 2.0]"
Ca2Cu1Cl2O2,"[20, 2.0, 29, 1.0, 17, 2.0, 8, 2.0]"
Hg1Ba2Cu1O4,"[80, 1.0, 56, 2.0, 29, 1.0, 8, 4.0]"
Y1Sr2Cu2Ga1O7,"[39, 1.0, 38, 2.0, 29, 2.0, 31, 1.0, 8, 7.0]"
Pr1Ba1Sr1Cu3O7,"[59, 1.0, 56, 1.0, 38, 1.0, 29, 3.0, 8, 7.0]"
I1Bi2Sr2Ca1Cu2O8,"[53, 1.0, 83, 2.0, 38, 2.0, 20, 1.0, 29, 2.0, 8, 8.0]"
Y1Sr2Ga1Cu2O7,"[39, 1.0, 38, 2.0, 31, 1.0, 29, 2.0, 8, 7.0]"
Tl1Ba1Sr1Ca2Cu3O9,"[81, 1.0, 56, 1.0, 38, 1.0, 20, 2.0, 29, 3.0, 8, 9.0]"
Ba2La1Cu3O7,"[56, 2.0, 57, 1.0, 29, 3.0, 8, 7.0]"
Li1Ti2O4,"[3, 1.0, 22, 2.0, 8, 4.0]"
Tl1Sr2Y1Cu2O7,"[81, 1.0, 38, 2.0, 39, 1.0, 29, 2.0, 8, 7.0]"
Tl3Cr1Sr8Cu4O20,"[81, 3.0, 24, 1.0, 38, 8.0, 29, 4.0, 8, 20.0]"
Sr2Y1Cu3O7,"[38, 2.0, 39, 1.0, 29, 3.0, 8, 7.0]"
Ga1Sr2Ca2Cu3O9,"[31, 1.0, 38, 2.0, 20, 2.0, 29, 3.0, 8, 9.0]"
Cu1Sr2Y1Cu2O7,"[29, 1.0, 38, 2.0, 39, 1.0, 29, 2.0, 8, 7.0]"
Lu1Ba2Cu3O6,"[71, 1.0, 56, 2.0, 29, 3.0, 8, 6.0]"
Y1Ba2Cu3O8,"[39, 1.0, 56, 2.0, 29, 3.0, 8, 8.0]"
Sr4Cu2O7,"[38, 4.0, 29, 2.0, 8, 7.0]"
Bi2Sr2Cu3Ca2O10,"[83, 2.0, 38, 2.0, 29, 3.0, 20, 2.0, 8, 10.0]"
Sr2Ru1O4,"[38, 2.0, 44, 1.0, 8, 4.0]"
Tl1Sr2Cu1O5,"[81, 1.0, 38, 2.0, 29, 1.0, 8, 5.0]"
Cu3Sr2Y1O7,"[29, 3.0, 38, 2.0, 39, 1.0, 8, 7.0]"
Ru1Sr2Gd1Cu2O8,"[44, 1.0, 38, 2.0, 64, 1.0, 29, 2.0, 8, 8.0]"
Sr2Y1Ru1O6,"[38, 2.0, 39, 1.0, 44, 1.0, 8, 6.0]"
Cd2Re2O7,"[48, 2.0, 75, 2.0, 8, 7.0]"
Ho1Ba2Cu3O6,"[67, 1.0, 56, 2.0, 29, 3.0, 8, 6.0]"
Tl1Sr1La1Cu1O5,"[81, 1.0, 38, 1.0, 57, 1.0, 29, 1.0, 8, 5.0]"
Tl1Sr2Pr1Cu2O7,"[81, 1.0, 38, 2.0, 59, 1.0, 29, 2.0, 8, 7.0]"
Y1Ba2Cu3F1O6,"[39, 1.0, 56, 2.0, 29, 3.0, 9, 1.0, 8, 6.0]"
K1Os2O6,"[19, 1.0, 76, 2.0, 8, 6.0]"
Nd1Ba2Cu3O6,"[60, 1.0, 56, 2.0, 29, 3.0, 8, 6.0]"
Rb1Bi1O3,"[37, 1.0, 83, 1.0, 8, 3.0]"
C1Sr2Cu1O5,"[6, 1.0, 38, 2.0, 29, 1.0, 8, 5.0]"
K1Ca2Nb3O10,"[19, 1.0, 20, 2.0, 41, 3.0, 8, 10.0]"
Rb1Ca2Nb3O10,"[37, 1.0, 20, 2.0, 41, 3.0, 8, 10.0]"
Rb1Sr2Nb3O10,"[37, 1.0, 38, 2.0, 41, 3.0, 8, 10.0]"
Cs1Ca2Nb3O10,"[55, 1.0, 20, 2.0, 41, 3.0, 8, 10.0]"
Sr2Ho1Ru1O6,"[38, 2.0, 67, 1.0, 44, 1.0, 8, 6.0]"
Gd1Sr2Ru1Cu2O8,"[64, 1.0, 38, 2.0, 44, 1.0, 29, 2.0, 8, 8.0]"
Eu1Ce1Sr2Ru1Cu2O10,"[63, 1.0, 58, 1.0, 38, 2.0, 44, 1.0, 29, 2.0, 8, 10.0]"
Ru1Sr2Eu1Ce1Cu2O10,"[44, 1.0, 38, 2.0, 63, 1.0, 58, 1.0, 29, 2.0, 8, 10.0]"
Sr1Ti1O3,"[38, 1.0, 22, 1.0, 8, 3.0]"
Eu1Ce1Ru1Sr2Cu2O10,"[63, 1.0, 58, 1.0, 44, 1.0, 38, 2.0, 29, 2.0, 8, 10.0]"
Rb1Os2O6,"[37, 1.0, 76, 2.0, 8, 6.0]"
Cs1Os2O6,"[55, 1.0, 76, 2.0, 8, 6.0]"
W1O3,"[74, 1.0, 8, 3.0]"
Ga1Sr2Tm1Cu2O7,"[31, 1.0, 38, 2.0, 69, 1.0, 29, 2.0, 8, 7.0]"
Ga1Sr2Y1Cu2O7,"[31, 1.0, 38, 2.0, 39, 1.0, 29, 2.0, 8, 7.0]"
Ag5Pb2O6,"[47, 5.0, 82, 2.0, 8, 6.0]"
Ca2Cu1Br2O2,"[20, 2.0, 29, 1.0, 35, 2.0, 8, 2.0]"
Ag7N1O11,"[47, 7.0, 7, 1.0, 8, 11.0]"
La1Fe1P1O1,"[57, 1.0, 26, 1.0, 15, 1.0, 8, 1.0]"
