new_formula,composition_vector
Lu2Fe2Si2C1,"[71, 2.0, 26, 2.0, 14, 2.0, 6, 1.0]"
Th2Fe2Si2C1,"[90, 2.0, 26, 2.0, 14, 2.0, 6, 1.0]"
Y2Re2Si2C1,"[39, 2.0, 75, 2.0, 14, 2.0, 6, 1.0]"
Ce1Si2Mo2C1,"[58, 1.0, 14, 2.0, 42, 2.0, 6, 1.0]"
Pr1Si2Mo2C1,"[59, 1.0, 14, 2.0, 42, 2.0, 6, 1.0]"
La2Re2Si2C1,"[57, 2.0, 75, 2.0, 14, 2.0, 6, 1.0]"
Ce2Re2Si2C1,"[58, 2.0, 75, 2.0, 14, 2.0, 6, 1.0]"
Pr2Re2Si2C1,"[59, 2.0, 75, 2.0, 14, 2.0, 6, 1.0]"
Nd2Re2Si2C1,"[60, 2.0, 75, 2.0, 14, 2.0, 6, 1.0]"
Sm2Re2Si2C1,"[62, 2.0, 75, 2.0, 14, 2.0, 6, 1.0]"
Gd2Re2Si2C1,"[64, 2.0, 75, 2.0, 14, 2.0, 6, 1.0]"
Tb2Re2Si2C1,"[65, 2.0, 75, 2.0, 14, 2.0, 6, 1.0]"
Dy2Re2Si2C1,"[66, 2.0, 75, 2.0, 14, 2.0, 6, 1.0]"
Ho2Re2Si2C1,"[67, 2.0, 75, 2.0, 14, 2.0, 6, 1.0]"
Er2Re2Si2C1,"[68, 2.0, 75, 2.0, 14, 2.0, 6, 1.0]"
Dy7Ru2C11,"[66, 7.0, 44, 2.0, 6, 11.0]"
U6Fe16Si7C1,"[92, 6.0, 26, 16.0, 14, 7.0, 6, 1.0]"
Er15Si9C1,"[68, 15.0, 14, 9.0, 6, 1.0]"
V2P1C1,"[23, 2.0, 15, 1.0, 6, 1.0]"
Y1P1Ru2C1,"[39, 1.0, 15, 1.0, 44, 2.0, 6, 1.0]"
Nb2P1C1,"[41, 2.0, 15, 1.0, 6, 1.0]"
Ce1P1Ru2C1,"[58, 1.0, 15, 1.0, 44, 2.0, 6, 1.0]"
Sm1P1Ru2C1,"[62, 1.0, 15, 1.0, 44, 2.0, 6, 1.0]"
Tb1P1Ru2C1,"[65, 1.0, 15, 1.0, 44, 2.0, 6, 1.0]"
Dy1P1Ru2C1,"[66, 1.0, 15, 1.0, 44, 2.0, 6, 1.0]"
Ho1P1Ru2C1,"[67, 1.0, 15, 1.0, 44, 2.0, 6, 1.0]"
Er1P1Ru2C1,"[68, 1.0, 15, 1.0, 44, 2.0, 6, 1.0]"
La2P1C1,"[57, 2.0, 15, 1.0, 6, 1.0]"
V4P2C1,"[23, 4.0, 15, 2.0, 6, 1.0]"
Ti2C1S1,"[22, 2.0, 6, 1.0, 16, 1.0]"
C1S14,"[6, 1.0, 16, 14.0]"
Zr2C1S1,"[40, 2.0, 6, 1.0, 16, 1.0]"
Hf2C1S1,"[72, 2.0, 6, 1.0, 16, 1.0]"
Ta2C1S2,"[73, 2.0, 6, 1.0, 16, 2.0]"
Y1C1Cl1,"[39, 1.0, 6, 1.0, 17, 1.0]"
Ti6C1Cl14,"[22, 6.0, 6, 1.0, 17, 14.0]"
Zr6C1Cl14,"[40, 6.0, 6, 1.0, 17, 14.0]"
Hf6C1Cl14,"[72, 6.0, 6, 1.0, 17, 14.0]"
K1Zr6C1Cl15,"[19, 1.0, 40, 6.0, 6, 1.0, 17, 15.0]"
K1Hf6C1Cl15,"[19, 1.0, 72, 6.0, 6, 1.0, 17, 15.0]"
Rb1Zr6C1Cl15,"[37, 1.0, 40, 6.0, 6, 1.0, 17, 15.0]"
Cs1Zr6C1Cl15,"[55, 1.0, 40, 6.0, 6, 1.0, 17, 15.0]"
Cs1Hf6C1Cl15,"[55, 1.0, 72, 6.0, 6, 1.0, 17, 15.0]"
Gd2C1Cl1,"[64, 2.0, 6, 1.0, 17, 1.0]"
Rb4Zr6C1Cl18,"[37, 4.0, 40, 6.0, 6, 1.0, 17, 18.0]"
Cs1La1Zr6C1Cl18,"[55, 1.0, 57, 1.0, 40, 6.0, 6, 1.0, 17, 18.0]"
Cs2Lu7C1Cl18,"[55, 2.0, 71, 7.0, 6, 1.0, 17, 18.0]"
W6C1Cl18,"[74, 6.0, 6, 1.0, 17, 18.0]"
Lu2C1Cl2,"[71, 2.0, 6, 1.0, 17, 2.0]"
Gd3C1Cl3,"[64, 3.0, 6, 1.0, 17, 3.0]"
C1Cl4,"[6, 1.0, 17, 4.0]"
Ce3C1Cl5,"[58, 3.0, 6, 1.0, 17, 5.0]"
Pr3C1Cl5,"[59, 3.0, 6, 1.0, 17, 5.0]"
Sc5C1Cl8,"[21, 5.0, 6, 1.0, 17, 8.0]"
K4Zr6C1Br18,"[19, 4.0, 40, 6.0, 6, 1.0, 35, 18.0]"
Sc1Co3C1,"[21, 1.0, 27, 3.0, 6, 1.0]"
Sc1Ru3C1,"[21, 1.0, 44, 3.0, 6, 1.0]"
Sc1Rh3C1,"[21, 1.0, 45, 3.0, 6, 1.0]"
Sc2C1,"[21, 2.0, 6, 1.0]"
Sc2C1I3,"[21, 2.0, 6, 1.0, 53, 3.0]"
Sc3Ga1C1,"[21, 3.0, 31, 1.0, 6, 1.0]"
Sc3In1C1,"[21, 3.0, 49, 1.0, 6, 1.0]"
Sc3Sn1C1,"[21, 3.0, 50, 1.0, 6, 1.0]"
Sc3Tl1C1,"[21, 3.0, 81, 1.0, 6, 1.0]"
Sc3Pb1C1,"[21, 3.0, 82, 1.0, 6, 1.0]"
Sc7C1Br12,"[21, 7.0, 6, 1.0, 35, 12.0]"
Sc7C1I12,"[21, 7.0, 6, 1.0, 53, 12.0]"
Ti1C1,"[22, 1.0, 6, 1.0]"
Ti2C1,"[22, 2.0, 6, 1.0]"
Ti2Ga1C1,"[22, 2.0, 31, 1.0, 6, 1.0]"
Ti2Ge1C1,"[22, 2.0, 32, 1.0, 6, 1.0]"
Ti2Cd1C1,"[22, 2.0, 48, 1.0, 6, 1.0]"
Ti2In1C1,"[22, 2.0, 49, 1.0, 6, 1.0]"
Ti2Sn1C1,"[22, 2.0, 50, 1.0, 6, 1.0]"
Ti2Tl1C1,"[22, 2.0, 81, 1.0, 6, 1.0]"
Ti2Pb1C1,"[22, 2.0, 82, 1.0, 6, 1.0]"
Ti3Zn3C1,"[22, 3.0, 30, 3.0, 6, 1.0]"
Ti3In1C1,"[22, 3.0, 49, 1.0, 6, 1.0]"
La21Mn8Sn7C12,"[57, 21.0, 25, 8.0, 50, 7.0, 6, 12.0]"
La21Mn8Sb7C12,"[57, 21.0, 25, 8.0, 51, 7.0, 6, 12.0]"
La21Mn8Bi7C12,"[57, 21.0, 25, 8.0, 83, 7.0, 6, 12.0]"
La21Fe8Sn7C12,"[57, 21.0, 26, 8.0, 50, 7.0, 6, 12.0]"
La21Fe8Sb7C12,"[57, 21.0, 26, 8.0, 51, 7.0, 6, 12.0]"
La21Fe8Bi7C12,"[57, 21.0, 26, 8.0, 83, 7.0, 6, 12.0]"
Ce21Fe8Bi7C12,"[58, 21.0, 26, 8.0, 83, 7.0, 6, 12.0]"
Pr21Fe8Bi7C12,"[59, 21.0, 26, 8.0, 83, 7.0, 6, 12.0]"
V2C1,"[23, 2.0, 6, 1.0]"
V2Ga1C1,"[23, 2.0, 31, 1.0, 6, 1.0]"
V2Ge1C1,"[23, 2.0, 32, 1.0, 6, 1.0]"
V2As1C1,"[23, 2.0, 33, 1.0, 6, 1.0]"
V3Ge1C1,"[23, 3.0, 32, 1.0, 6, 1.0]"
V3As1C1,"[23, 3.0, 33, 1.0, 6, 1.0]"
Cr2Ga1C1,"[24, 2.0, 31, 1.0, 6, 1.0]"
Mn3Ga1C1,"[25, 3.0, 31, 1.0, 6, 1.0]"
Mn3Mo3C1,"[25, 3.0, 42, 3.0, 6, 1.0]"
Mn3W3C1,"[25, 3.0, 74, 3.0, 6, 1.0]"
Y2Fe14C1,"[39, 2.0, 26, 14.0, 6, 1.0]"
Sm2Fe14C1,"[62, 2.0, 26, 14.0, 6, 1.0]"
Tb2Fe14C1,"[65, 2.0, 26, 14.0, 6, 1.0]"
Dy2Fe14C1,"[66, 2.0, 26, 14.0, 6, 1.0]"
Ho2Fe14C1,"[67, 2.0, 26, 14.0, 6, 1.0]"
Er2Fe14C1,"[68, 2.0, 26, 14.0, 6, 1.0]"
Tm2Fe14C1,"[69, 2.0, 26, 14.0, 6, 1.0]"
Lu2Fe14C1,"[71, 2.0, 26, 14.0, 6, 1.0]"
Fe6W6C1,"[26, 6.0, 74, 6.0, 6, 1.0]"
La1Ga4Fe9C1,"[57, 1.0, 31, 4.0, 26, 9.0, 6, 1.0]"
U6Co12Ge4C1,"[92, 6.0, 27, 12.0, 32, 4.0, 6, 1.0]"
Y1Co1C1,"[39, 1.0, 27, 1.0, 6, 1.0]"
Gd1Co1C1,"[64, 1.0, 27, 1.0, 6, 1.0]"
Tb1Co1C1,"[65, 1.0, 27, 1.0, 6, 1.0]"
Dy1Co1C1,"[66, 1.0, 27, 1.0, 6, 1.0]"
Ho1Co1C1,"[67, 1.0, 27, 1.0, 6, 1.0]"
Er1Co1C1,"[68, 1.0, 27, 1.0, 6, 1.0]"
Tm1Co1C1,"[69, 1.0, 27, 1.0, 6, 1.0]"
Lu1Co1C1,"[71, 1.0, 27, 1.0, 6, 1.0]"
Nb4Ni2C1,"[41, 4.0, 28, 2.0, 6, 1.0]"
Ni2Mo4C1,"[28, 2.0, 42, 4.0, 6, 1.0]"
Ta4Ni2C1,"[73, 4.0, 28, 2.0, 6, 1.0]"
Ni2W4C1,"[28, 2.0, 74, 4.0, 6, 1.0]"
Ni6Mo6C1,"[28, 6.0, 42, 6.0, 6, 1.0]"
Ni6W6C1,"[28, 6.0, 74, 6.0, 6, 1.0]"
Zr3Zn3C1,"[40, 3.0, 30, 3.0, 6, 1.0]"
Hf3Zn3C1,"[72, 3.0, 30, 3.0, 6, 1.0]"
Y3Ga1C1,"[39, 3.0, 31, 1.0, 6, 1.0]"
Nb2Ga1C1,"[41, 2.0, 31, 1.0, 6, 1.0]"
Tb3Ga1C1,"[65, 3.0, 31, 1.0, 6, 1.0]"
Lu3Ga1C1,"[71, 3.0, 31, 1.0, 6, 1.0]"
Ta2Ga1C1,"[73, 2.0, 31, 1.0, 6, 1.0]"
Nb2Ge1C1,"[41, 2.0, 32, 1.0, 6, 1.0]"
Ce5Ge3C1,"[58, 5.0, 32, 3.0, 6, 1.0]"
Dy5Ge3C1,"[66, 5.0, 32, 3.0, 6, 1.0]"
Ho5Ge3C1,"[67, 5.0, 32, 3.0, 6, 1.0]"
Er5Ge3C1,"[68, 5.0, 32, 3.0, 6, 1.0]"
Tm5Ge3C1,"[69, 5.0, 32, 3.0, 6, 1.0]"
Lu5Ge3C1,"[71, 5.0, 32, 3.0, 6, 1.0]"
Nd15Ge9C1,"[60, 15.0, 32, 9.0, 6, 1.0]"
Nb2As1C1,"[41, 2.0, 33, 1.0, 6, 1.0]"
C1Se4Br2,"[6, 1.0, 34, 4.0, 35, 2.0]"
Y1C1Br1,"[39, 1.0, 6, 1.0, 35, 1.0]"
Th6C1Br14,"[90, 6.0, 6, 1.0, 35, 14.0]"
Pr2C1Br1,"[59, 2.0, 6, 1.0, 35, 1.0]"
Gd1C1Br1,"[64, 1.0, 6, 1.0, 35, 1.0]"
Gd2C1Br1,"[64, 2.0, 6, 1.0, 35, 1.0]"
Tb1C1Br1,"[65, 1.0, 6, 1.0, 35, 1.0]"
Tb2C1Br1,"[65, 2.0, 6, 1.0, 35, 1.0]"
Pr3C1Br3,"[59, 3.0, 6, 1.0, 35, 3.0]"
C1Br4,"[6, 1.0, 35, 4.0]"
Pr3C1Br5,"[59, 3.0, 6, 1.0, 35, 5.0]"
Rb1Zr6C1I14,"[37, 1.0, 40, 6.0, 6, 1.0, 53, 14.0]"
Y1Rh3C1,"[39, 1.0, 45, 3.0, 6, 1.0]"
Y1C1I1,"[39, 1.0, 6, 1.0, 53, 1.0]"
Y2C1,"[39, 2.0, 6, 1.0]"
Y2C1I2,"[39, 2.0, 6, 1.0, 53, 2.0]"
Y3In1C1,"[39, 3.0, 49, 1.0, 6, 1.0]"
Y3Sn1C1,"[39, 3.0, 50, 1.0, 6, 1.0]"
Y3Tl1C1,"[39, 3.0, 81, 1.0, 6, 1.0]"
Y3Pb1C1,"[39, 3.0, 82, 1.0, 6, 1.0]"
Y4C1I5,"[39, 4.0, 6, 1.0, 53, 5.0]"
Zr1C1,"[40, 1.0, 6, 1.0]"
Zr1Ru3C1,"[40, 1.0, 44, 3.0, 6, 1.0]"
Zr2In1C1,"[40, 2.0, 49, 1.0, 6, 1.0]"
Zr2Sn1C1,"[40, 2.0, 50, 1.0, 6, 1.0]"
Zr2Tl1C1,"[40, 2.0, 81, 1.0, 6, 1.0]"
Zr2Pb1C1,"[40, 2.0, 82, 1.0, 6, 1.0]"
Zr5Sn3C1,"[40, 5.0, 50, 3.0, 6, 1.0]"
Zr5Sb3C1,"[40, 5.0, 51, 3.0, 6, 1.0]"
Zr6C1I14,"[40, 6.0, 6, 1.0, 53, 14.0]"
Cs1Zr6C1I14,"[55, 1.0, 40, 6.0, 6, 1.0, 53, 14.0]"
Cs2Zr7C1I18,"[55, 2.0, 40, 7.0, 6, 1.0, 53, 18.0]"
Nb2C1,"[41, 2.0, 6, 1.0]"
Nb2In1C1,"[41, 2.0, 49, 1.0, 6, 1.0]"
Nb2Sn1C1,"[41, 2.0, 50, 1.0, 6, 1.0]"
La14C14Cl9,"[57, 14.0, 6, 14.0, 17, 9.0]"
Mo2C1,"[42, 2.0, 6, 1.0]"
Ce1Ru3C1,"[58, 1.0, 44, 3.0, 6, 1.0]"
Dy1Ru3C1,"[66, 1.0, 44, 3.0, 6, 1.0]"
Ho1Ru3C1,"[67, 1.0, 44, 3.0, 6, 1.0]"
Er1Ru3C1,"[68, 1.0, 44, 3.0, 6, 1.0]"
Tm1Ru3C1,"[69, 1.0, 44, 3.0, 6, 1.0]"
Lu1Ru3C1,"[71, 1.0, 44, 3.0, 6, 1.0]"
Th1Ru3C1,"[90, 1.0, 44, 3.0, 6, 1.0]"
Sm1Rh3C1,"[62, 1.0, 45, 3.0, 6, 1.0]"
Gd1Rh3C1,"[64, 1.0, 45, 3.0, 6, 1.0]"
Tb1Rh3C1,"[65, 1.0, 45, 3.0, 6, 1.0]"
Dy1Rh3C1,"[66, 1.0, 45, 3.0, 6, 1.0]"
Ho1Rh3C1,"[67, 1.0, 45, 3.0, 6, 1.0]"
Er1Rh3C1,"[68, 1.0, 45, 3.0, 6, 1.0]"
Tm1Rh3C1,"[69, 1.0, 45, 3.0, 6, 1.0]"
Lu1Rh3C1,"[71, 1.0, 45, 3.0, 6, 1.0]"
La3In1C1,"[57, 3.0, 49, 1.0, 6, 1.0]"
Ce3In1C1,"[58, 3.0, 49, 1.0, 6, 1.0]"
Nd3In1C1,"[60, 3.0, 49, 1.0, 6, 1.0]"
Dy3In1C1,"[66, 3.0, 49, 1.0, 6, 1.0]"
Lu3In1C1,"[71, 3.0, 49, 1.0, 6, 1.0]"
Hf2In1C1,"[72, 2.0, 49, 1.0, 6, 1.0]"
La3Sn1C1,"[57, 3.0, 50, 1.0, 6, 1.0]"
Gd3Sn1C1,"[64, 3.0, 50, 1.0, 6, 1.0]"
Dy3Sn1C1,"[66, 3.0, 50, 1.0, 6, 1.0]"
Lu3Sn1C1,"[71, 3.0, 50, 1.0, 6, 1.0]"
Hf2Sn1C1,"[72, 2.0, 50, 1.0, 6, 1.0]"
Y12Mn5C15,"[39, 12.0, 25, 5.0, 6, 15.0]"
Pr12Mn5C15,"[59, 12.0, 25, 5.0, 6, 15.0]"
Nd12Mn5C15,"[60, 12.0, 25, 5.0, 6, 15.0]"
Sm12Mn5C15,"[62, 12.0, 25, 5.0, 6, 15.0]"
Tb12Mn5C15,"[65, 12.0, 25, 5.0, 6, 15.0]"
Dy12Mn5C15,"[66, 12.0, 25, 5.0, 6, 15.0]"
Ho12Mn5C15,"[67, 12.0, 25, 5.0, 6, 15.0]"
Er12Mn5C15,"[68, 12.0, 25, 5.0, 6, 15.0]"
Tm12Mn5C15,"[69, 12.0, 25, 5.0, 6, 15.0]"
Lu12Mn5C15,"[71, 12.0, 25, 5.0, 6, 15.0]"
Cs1Er6C1I12,"[55, 1.0, 68, 6.0, 6, 1.0, 53, 12.0]"
Gd2C1I1,"[64, 2.0, 6, 1.0, 53, 1.0]"
Tb2C1I1,"[65, 2.0, 6, 1.0, 53, 1.0]"
Gd3C1I3,"[64, 3.0, 6, 1.0, 53, 3.0]"
La3C1I5,"[57, 3.0, 6, 1.0, 53, 5.0]"
Ce3C1I5,"[58, 3.0, 6, 1.0, 53, 5.0]"
Cs1Pr3C1I6,"[55, 1.0, 59, 3.0, 6, 1.0, 53, 6.0]"
Y12Os5C15,"[39, 12.0, 76, 5.0, 6, 15.0]"
La12Re5C15,"[57, 12.0, 75, 5.0, 6, 15.0]"
Ce12Re5C15,"[58, 12.0, 75, 5.0, 6, 15.0]"
Pr12Re5C15,"[59, 12.0, 75, 5.0, 6, 15.0]"
Pr12Os5C15,"[59, 12.0, 76, 5.0, 6, 15.0]"
Nd12Re5C15,"[60, 12.0, 75, 5.0, 6, 15.0]"
Nd12Os5C15,"[60, 12.0, 76, 5.0, 6, 15.0]"
Sm12Os5C15,"[62, 12.0, 76, 5.0, 6, 15.0]"
Tb12Os5C15,"[65, 12.0, 76, 5.0, 6, 15.0]"
Dy12Os5C15,"[66, 12.0, 76, 5.0, 6, 15.0]"
Tm12Os5C15,"[69, 12.0, 76, 5.0, 6, 15.0]"
La3Tl1C1,"[57, 3.0, 81, 1.0, 6, 1.0]"
La3Pb1C1,"[57, 3.0, 82, 1.0, 6, 1.0]"
Sm3Tl1C1,"[62, 3.0, 81, 1.0, 6, 1.0]"
Gd3Tl1C1,"[64, 3.0, 81, 1.0, 6, 1.0]"
Tb2C1,"[65, 2.0, 6, 1.0]"
Dy2C1,"[66, 2.0, 6, 1.0]"
Dy3Pb1C1,"[66, 3.0, 82, 1.0, 6, 1.0]"
Ho2C1,"[67, 2.0, 6, 1.0]"
Ho3Pb1C1,"[67, 3.0, 82, 1.0, 6, 1.0]"
Tm3Pb1C1,"[69, 3.0, 82, 1.0, 6, 1.0]"
Ba9Nb2C1N10O1,"[56, 9.0, 41, 2.0, 6, 1.0, 7, 10.0, 8, 1.0]"
Na1C1S1N1,"[11, 1.0, 6, 1.0, 16, 1.0, 7, 1.0]"
Cs1C1S1N1,"[55, 1.0, 6, 1.0, 16, 1.0, 7, 1.0]"
C1N1Cl1,"[6, 1.0, 7, 1.0, 17, 1.0]"
Lu3Tl1C1,"[71, 3.0, 81, 1.0, 6, 1.0]"
Lu3Pb1C1,"[71, 3.0, 82, 1.0, 6, 1.0]"
La4C1I6N1,"[57, 4.0, 6, 1.0, 53, 6.0, 7, 1.0]"
Ce4C1I6N1,"[58, 4.0, 6, 1.0, 53, 6.0, 7, 1.0]"
Na1C1N1O1,"[11, 1.0, 6, 1.0, 7, 1.0, 8, 1.0]"
Hf1C1,"[72, 1.0, 6, 1.0]"
Na2C1N2,"[11, 2.0, 6, 1.0, 7, 2.0]"
Mg1C1N2,"[12, 1.0, 6, 1.0, 7, 2.0]"
La1C1N2Cl1,"[57, 1.0, 6, 1.0, 7, 2.0, 17, 1.0]"
Sr2C1N2Cl2,"[38, 2.0, 6, 1.0, 7, 2.0, 17, 2.0]"
Eu2C1N2Cl2,"[63, 2.0, 6, 1.0, 7, 2.0, 17, 2.0]"
K2C1N2,"[19, 2.0, 6, 1.0, 7, 2.0]"
Ca1C1N2,"[20, 1.0, 6, 1.0, 7, 2.0]"
Hf2Tl1C1,"[72, 2.0, 81, 1.0, 6, 1.0]"
Hf2Pb1C1,"[72, 2.0, 82, 1.0, 6, 1.0]"
Zn1C1N2,"[30, 1.0, 6, 1.0, 7, 2.0]"
Sr1C1N2,"[38, 1.0, 6, 1.0, 7, 2.0]"
Cd1C1N2,"[48, 1.0, 6, 1.0, 7, 2.0]"
Eu1C1N2,"[63, 1.0, 6, 1.0, 7, 2.0]"
Tl2C1N2,"[81, 2.0, 6, 1.0, 7, 2.0]"
Pb1C1N2,"[82, 1.0, 6, 1.0, 7, 2.0]"
Y2C1N2O2,"[39, 2.0, 6, 1.0, 7, 2.0, 8, 2.0]"
Ce2C1N2O2,"[58, 2.0, 6, 1.0, 7, 2.0, 8, 2.0]"
Pr2C1N2O2,"[59, 2.0, 6, 1.0, 7, 2.0, 8, 2.0]"
Nd2C1N2O2,"[60, 2.0, 6, 1.0, 7, 2.0, 8, 2.0]"
Sm2C1N2O2,"[62, 2.0, 6, 1.0, 7, 2.0, 8, 2.0]"
Gd2C1N2O2,"[64, 2.0, 6, 1.0, 7, 2.0, 8, 2.0]"
Dy2C1N2O2,"[66, 2.0, 6, 1.0, 7, 2.0, 8, 2.0]"
Ho2C1N2O2,"[67, 2.0, 6, 1.0, 7, 2.0, 8, 2.0]"
Er2C1N2O2,"[68, 2.0, 6, 1.0, 7, 2.0, 8, 2.0]"
Tm2C1N2O2,"[69, 2.0, 6, 1.0, 7, 2.0, 8, 2.0]"
La2Si1C1N2O4,"[57, 2.0, 14, 1.0, 6, 1.0, 7, 2.0, 8, 4.0]"
Pr2Si1C1N2O4,"[59, 2.0, 14, 1.0, 6, 1.0, 7, 2.0, 8, 4.0]"
La1C1N2F1,"[57, 1.0, 6, 1.0, 7, 2.0, 9, 1.0]"
Ta1C1,"[73, 1.0, 6, 1.0]"
Sb1P3C1N3Cl15,"[51, 1.0, 15, 3.0, 6, 1.0, 7, 3.0, 17, 15.0]"
La2C1N3Cl1,"[57, 2.0, 6, 1.0, 7, 3.0, 17, 1.0]"
Ce2C1N3Cl1,"[58, 2.0, 6, 1.0, 7, 3.0, 17, 1.0]"
Ta2C1,"[73, 2.0, 6, 1.0]"
W1C1,"[74, 1.0, 6, 1.0]"
Si2C1N4,"[14, 2.0, 6, 1.0, 7, 4.0]"
Sr3Ca1C1N4,"[38, 3.0, 20, 1.0, 6, 1.0, 7, 4.0]"
Ca4C1N4,"[20, 4.0, 6, 1.0, 7, 4.0]"
Sr4C1N4,"[38, 4.0, 6, 1.0, 7, 4.0]"
Re2C1,"[75, 2.0, 6, 1.0]"
Y2Si4C1N6,"[39, 2.0, 14, 4.0, 6, 1.0, 7, 6.0]"
La2Si4C1N6,"[57, 2.0, 14, 4.0, 6, 1.0, 7, 6.0]"
Gd2Si4C1N6,"[64, 2.0, 14, 4.0, 6, 1.0, 7, 6.0]"
Tb2Si4C1N6,"[65, 2.0, 14, 4.0, 6, 1.0, 7, 6.0]"
Ho2Si4C1N6,"[67, 2.0, 14, 4.0, 6, 1.0, 7, 6.0]"
Er2Si4C1N6,"[68, 2.0, 14, 4.0, 6, 1.0, 7, 6.0]"
K2Mn3V2C1O11,"[19, 2.0, 25, 3.0, 23, 2.0, 6, 1.0, 8, 11.0]"
Sc1Al1C1O1,"[21, 1.0, 13, 1.0, 6, 1.0, 8, 1.0]"
Ba1Na2Nd2Si4C1O15,"[56, 1.0, 11, 2.0, 60, 2.0, 14, 4.0, 6, 1.0, 8, 15.0]"
Rb1C1O1F3,"[37, 1.0, 6, 1.0, 8, 1.0, 9, 3.0]"
Cs1C1O1F3,"[55, 1.0, 6, 1.0, 8, 1.0, 9, 3.0]"
C1O2,"[6, 1.0, 8, 2.0]"
Rb1C1O2,"[37, 1.0, 6, 1.0, 8, 2.0]"
Dy11Mn12C18,"[66, 11.0, 25, 12.0, 6, 18.0]"
Y10Mn13C18,"[39, 10.0, 25, 13.0, 6, 18.0]"
Tb10Mn13C18,"[65, 10.0, 25, 13.0, 6, 18.0]"
Ho10Mn13C18,"[67, 10.0, 25, 13.0, 6, 18.0]"
Er10Mn13C18,"[68, 10.0, 25, 13.0, 6, 18.0]"
Tm10Mn13C18,"[69, 10.0, 25, 13.0, 6, 18.0]"
Lu10Mn13C18,"[71, 10.0, 25, 13.0, 6, 18.0]"
La11Mn3C18,"[57, 11.0, 25, 3.0, 6, 18.0]"
Cs1C1O2,"[55, 1.0, 6, 1.0, 8, 2.0]"
Sm11Fe12C18,"[62, 11.0, 26, 12.0, 6, 18.0]"
Ca10P6C1O27,"[20, 10.0, 15, 6.0, 6, 1.0, 8, 27.0]"
Na2C1O3,"[11, 2.0, 6, 1.0, 8, 3.0]"
Mg1C1O3,"[12, 1.0, 6, 1.0, 8, 3.0]"
K1C1O3,"[19, 1.0, 6, 1.0, 8, 3.0]"
K1Ag1C1O3,"[19, 1.0, 47, 1.0, 6, 1.0, 8, 3.0]"
K2C1O3,"[19, 2.0, 6, 1.0, 8, 3.0]"
Ca1C1O3,"[20, 1.0, 6, 1.0, 8, 3.0]"
Mn1C1O3,"[25, 1.0, 6, 1.0, 8, 3.0]"
Fe1C1O3,"[26, 1.0, 6, 1.0, 8, 3.0]"
Co1C1O3,"[27, 1.0, 6, 1.0, 8, 3.0]"
Ni1C1O3,"[28, 1.0, 6, 1.0, 8, 3.0]"
Zn1C1O3,"[30, 1.0, 6, 1.0, 8, 3.0]"
Rb2C1O3,"[37, 2.0, 6, 1.0, 8, 3.0]"
Sr1C1O3,"[38, 1.0, 6, 1.0, 8, 3.0]"
Ag2C1O3,"[47, 2.0, 6, 1.0, 8, 3.0]"
Cd1C1O3,"[48, 1.0, 6, 1.0, 8, 3.0]"
Cs2C1O3,"[55, 2.0, 6, 1.0, 8, 3.0]"
Ba1C1O3,"[56, 1.0, 6, 1.0, 8, 3.0]"
Eu1C1O3,"[63, 1.0, 6, 1.0, 8, 3.0]"
Tl2C1O3,"[81, 2.0, 6, 1.0, 8, 3.0]"
Pb1C1O3,"[82, 1.0, 6, 1.0, 8, 3.0]"
Rb1Mg1C1O3F1,"[37, 1.0, 12, 1.0, 6, 1.0, 8, 3.0, 9, 1.0]"
K1Ca1C1O3F1,"[19, 1.0, 20, 1.0, 6, 1.0, 8, 3.0, 9, 1.0]"
K1Cu1C1O3F1,"[19, 1.0, 29, 1.0, 6, 1.0, 8, 3.0, 9, 1.0]"
K1Sr1C1O3F1,"[19, 1.0, 38, 1.0, 6, 1.0, 8, 3.0, 9, 1.0]"
Rb1Ca1C1O3F1,"[37, 1.0, 20, 1.0, 6, 1.0, 8, 3.0, 9, 1.0]"
Rb1Sr1C1O3F1,"[37, 1.0, 38, 1.0, 6, 1.0, 8, 3.0, 9, 1.0]"
La1C1O3F1,"[57, 1.0, 6, 1.0, 8, 3.0, 9, 1.0]"
Ce1C1O3F1,"[58, 1.0, 6, 1.0, 8, 3.0, 9, 1.0]"
Na1Y1C1O3F2,"[11, 1.0, 39, 1.0, 6, 1.0, 8, 3.0, 9, 2.0]"
K1Gd1C1O3F2,"[19, 1.0, 64, 1.0, 6, 1.0, 8, 3.0, 9, 2.0]"
Ba1Zn1C1O3F2,"[56, 1.0, 30, 1.0, 6, 1.0, 8, 3.0, 9, 2.0]"
Na2Eu1C1O3F3,"[11, 2.0, 63, 1.0, 6, 1.0, 8, 3.0, 9, 3.0]"
Sr2Al1C1O3F5,"[38, 2.0, 13, 1.0, 6, 1.0, 8, 3.0, 9, 5.0]"
Ba3Sc1C1O3F7,"[56, 3.0, 21, 1.0, 6, 1.0, 8, 3.0, 9, 7.0]"
Al4C1O4,"[13, 4.0, 6, 1.0, 8, 4.0]"
Th11Ru12C18,"[90, 11.0, 44, 12.0, 6, 18.0]"
Ho9Sb5C1O4,"[67, 9.0, 51, 5.0, 6, 1.0, 8, 4.0]"
Nd1C1O4,"[60, 1.0, 6, 1.0, 8, 4.0]"
Sm1C1O4,"[62, 1.0, 6, 1.0, 8, 4.0]"
Pb2C1O4,"[82, 2.0, 6, 1.0, 8, 4.0]"
