new_formula,composition_vector
H6C1N2O2,"[1, 6.0, 6, 1.0, 7, 2.0, 8, 2.0]"
H6C1N3Cl1,"[1, 6.0, 6, 1.0, 7, 3.0, 17, 1.0]"
Sn1H6C1N3Cl3,"[50, 1.0, 1, 6.0, 6, 1.0, 7, 3.0, 17, 3.0]"
Cd1H6C1Br3N3,"[48, 1.0, 1, 6.0, 6, 1.0, 35, 3.0, 7, 3.0]"
Cd1H6C1I3N3,"[48, 1.0, 1, 6.0, 6, 1.0, 53, 3.0, 7, 3.0]"
P1H6C1N3F6,"[15, 1.0, 1, 6.0, 6, 1.0, 7, 3.0, 9, 6.0]"
Cu2H6Pb5C1S3O21,"[29, 2.0, 1, 6.0, 82, 5.0, 6, 1.0, 16, 3.0, 8, 21.0]"
Cs2H6C1O6,"[55, 2.0, 1, 6.0, 6, 1.0, 8, 6.0]"
Al1H6C2Se1Cl3,"[13, 1.0, 1, 6.0, 6, 2.0, 34, 1.0, 17, 3.0]"
Ta1H6C2Se1Cl5,"[73, 1.0, 1, 6.0, 6, 2.0, 34, 1.0, 17, 5.0]"
Ga1H6C2Se1I3,"[31, 1.0, 1, 6.0, 6, 2.0, 34, 1.0, 53, 3.0]"
Sr1Al2H6C2O11,"[38, 1.0, 13, 2.0, 1, 6.0, 6, 2.0, 8, 11.0]"
Pu1P2H6C2O6,"[94, 1.0, 15, 2.0, 1, 6.0, 6, 2.0, 8, 6.0]"
K4H6C2O9,"[19, 4.0, 1, 6.0, 6, 2.0, 8, 9.0]"
Rb4H6C2O9,"[37, 4.0, 1, 6.0, 6, 2.0, 8, 9.0]"
Na3Y1H6C3O12,"[11, 3.0, 39, 1.0, 1, 6.0, 6, 3.0, 8, 12.0]"
Pr1H6C3O9,"[59, 1.0, 1, 6.0, 6, 3.0, 8, 9.0]"
Al1H7C2S1Cl4,"[13, 1.0, 1, 7.0, 6, 2.0, 16, 1.0, 17, 4.0]"
H7C3N6Cl1,"[1, 7.0, 6, 3.0, 7, 6.0, 17, 1.0]"
Al1P1H8C2Cl4,"[13, 1.0, 15, 1.0, 1, 8.0, 6, 2.0, 17, 4.0]"
Zn1H8C2N4Cl2O2,"[30, 1.0, 1, 8.0, 6, 2.0, 7, 4.0, 17, 2.0, 8, 2.0]"
K2Mg1H8C2O10,"[19, 2.0, 12, 1.0, 1, 8.0, 6, 2.0, 8, 10.0]"
Rb2Mg1H8C2O10,"[37, 2.0, 12, 1.0, 1, 8.0, 6, 2.0, 8, 10.0]"
Cs2Mg1H8C2O10,"[55, 2.0, 12, 1.0, 1, 8.0, 6, 2.0, 8, 10.0]"
K2Ni1H8C2O10,"[19, 2.0, 28, 1.0, 1, 8.0, 6, 2.0, 8, 10.0]"
Na1Ca2Al4H8C4Cl1O20,"[11, 1.0, 20, 2.0, 13, 4.0, 1, 8.0, 6, 4.0, 17, 1.0, 8, 20.0]"
Al1P1H9C3Cl3,"[13, 1.0, 15, 1.0, 1, 9.0, 6, 3.0, 17, 3.0]"
P2H9C3Br3,"[15, 2.0, 1, 9.0, 6, 3.0, 35, 3.0]"
Al1Si1H9C3Cl2O1,"[13, 1.0, 14, 1.0, 1, 9.0, 6, 3.0, 17, 2.0, 8, 1.0]"
Ga1P1H9C3Cl3O1,"[31, 1.0, 15, 1.0, 1, 9.0, 6, 3.0, 17, 3.0, 8, 1.0]"
H9C6N11,"[1, 9.0, 6, 6.0, 7, 11.0]"
Li1B1C1,"[3, 1.0, 5, 1.0, 6, 1.0]"
Li1B6C1,"[3, 1.0, 5, 6.0, 6, 1.0]"
Li1C12,"[3, 1.0, 6, 12.0]"
Sr2Li1C1Br3N2,"[38, 2.0, 3, 1.0, 6, 1.0, 35, 3.0, 7, 2.0]"
Li1Eu2C1Br3N2,"[3, 1.0, 63, 2.0, 6, 1.0, 35, 3.0, 7, 2.0]"
Li1Eu2C1I3N2,"[3, 1.0, 63, 2.0, 6, 1.0, 53, 3.0, 7, 2.0]"
Na3Li1Y3P3C1O15F2,"[11, 3.0, 3, 1.0, 39, 3.0, 15, 3.0, 6, 1.0, 8, 15.0, 9, 2.0]"
Na1Li1C1O3,"[11, 1.0, 3, 1.0, 6, 1.0, 8, 3.0]"
K1Li1C1O3,"[19, 1.0, 3, 1.0, 6, 1.0, 8, 3.0]"
Li1Al1C2N4,"[3, 1.0, 13, 1.0, 6, 2.0, 7, 4.0]"
Li1In1C2N4,"[3, 1.0, 49, 1.0, 6, 2.0, 7, 4.0]"
Li1La1C2N4,"[3, 1.0, 57, 1.0, 6, 2.0, 7, 4.0]"
Li1Pr2C2N4F3,"[3, 1.0, 59, 2.0, 6, 2.0, 7, 4.0, 9, 3.0]"
Ba4Li1Cu1C2O10,"[56, 4.0, 3, 1.0, 29, 1.0, 6, 2.0, 8, 10.0]"
Li1La1C2O6,"[3, 1.0, 57, 1.0, 6, 2.0, 8, 6.0]"
Ba2Li1Al1C4N8,"[56, 2.0, 3, 1.0, 13, 1.0, 6, 4.0, 7, 8.0]"
Cs2Li1Ir1C6N6,"[55, 2.0, 3, 1.0, 77, 1.0, 6, 6.0, 7, 6.0]"
Li2C1N2,"[3, 2.0, 6, 1.0, 7, 2.0]"
Li2C1O3,"[3, 2.0, 6, 1.0, 8, 3.0]"
Rb1Li2Cd1C2O6F1,"[37, 1.0, 3, 2.0, 48, 1.0, 6, 2.0, 8, 6.0, 9, 1.0]"
Be1C1N2,"[4, 1.0, 6, 1.0, 7, 2.0]"
Be2C1,"[4, 2.0, 6, 1.0]"
K6Be4C6O19,"[19, 6.0, 4, 4.0, 6, 6.0, 8, 19.0]"
Mg1B12C2,"[12, 1.0, 5, 12.0, 6, 2.0]"
B13C2,"[5, 13.0, 6, 2.0]"
Y1Ni1B1C1,"[39, 1.0, 28, 1.0, 5, 1.0, 6, 1.0]"
Tb1Ni1B1C1,"[65, 1.0, 28, 1.0, 5, 1.0, 6, 1.0]"
Er1Ni1B1C1,"[68, 1.0, 28, 1.0, 5, 1.0, 6, 1.0]"
Lu1Ni1B1C1,"[71, 1.0, 28, 1.0, 5, 1.0, 6, 1.0]"
La1B1C1,"[57, 1.0, 5, 1.0, 6, 1.0]"
Pr2B1C1,"[59, 2.0, 5, 1.0, 6, 1.0]"
Nd1B1C1,"[60, 1.0, 5, 1.0, 6, 1.0]"
Nd2B1C1,"[60, 2.0, 5, 1.0, 6, 1.0]"
Sm1B1C1,"[62, 1.0, 5, 1.0, 6, 1.0]"
Ca3B1C1N1Cl2,"[20, 3.0, 5, 1.0, 6, 1.0, 7, 1.0, 17, 2.0]"
Sr3B1C1N1Cl2,"[38, 3.0, 5, 1.0, 6, 1.0, 7, 1.0, 17, 2.0]"
Ca3B1C1Br2N1,"[20, 3.0, 5, 1.0, 6, 1.0, 35, 2.0, 7, 1.0]"
Th1B1C1,"[90, 1.0, 5, 1.0, 6, 1.0]"
U1B1C1,"[92, 1.0, 5, 1.0, 6, 1.0]"
Sc2B1C2,"[21, 2.0, 5, 1.0, 6, 2.0]"
Lu3B1C3,"[71, 3.0, 5, 1.0, 6, 3.0]"
Mg2B24C1,"[12, 2.0, 5, 24.0, 6, 1.0]"
Ce1Co2B2C1,"[58, 1.0, 27, 2.0, 5, 2.0, 6, 1.0]"
Y1Ni2B2C1,"[39, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
La1Ni2B2C1,"[57, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
Ce1Ni2B2C1,"[58, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
Pr1Ni2B2C1,"[59, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
Nd1Ni2B2C1,"[60, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
Eu1Ni2B2C1,"[63, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
Gd1Ni2B2C1,"[64, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
Tb1Ni2B2C1,"[65, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
Dy1Ni2B2C1,"[66, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
Er1Ni2B2C1,"[68, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
Tm1Ni2B2C1,"[69, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
Lu1Ni2B2C1,"[71, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
Th1Ni2B2C1,"[90, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
U1Ni2B2C1,"[92, 1.0, 28, 2.0, 5, 2.0, 6, 1.0]"
Y1B2C1,"[39, 1.0, 5, 2.0, 6, 1.0]"
La1B2Rh2C1,"[57, 1.0, 5, 2.0, 45, 2.0, 6, 1.0]"
Ce1B2Rh2C1,"[58, 1.0, 5, 2.0, 45, 2.0, 6, 1.0]"
Pr1B2Rh2C1,"[59, 1.0, 5, 2.0, 45, 2.0, 6, 1.0]"
Nd1B2Rh2C1,"[60, 1.0, 5, 2.0, 45, 2.0, 6, 1.0]"
Sm1B2Rh2C1,"[62, 1.0, 5, 2.0, 45, 2.0, 6, 1.0]"
Gd1B2Rh2C1,"[64, 1.0, 5, 2.0, 45, 2.0, 6, 1.0]"
Th1B2Rh2C1,"[90, 1.0, 5, 2.0, 45, 2.0, 6, 1.0]"
La1B2Ir2C1,"[57, 1.0, 5, 2.0, 77, 2.0, 6, 1.0]"
Ce1B2C1,"[58, 1.0, 5, 2.0, 6, 1.0]"
Ce1B2Ir2C1,"[58, 1.0, 5, 2.0, 77, 2.0, 6, 1.0]"
Tb1B2C1,"[65, 1.0, 5, 2.0, 6, 1.0]"
Dy1B2C1,"[66, 1.0, 5, 2.0, 6, 1.0]"
Ho1B2C1,"[67, 1.0, 5, 2.0, 6, 1.0]"
Tm1B2C1,"[69, 1.0, 5, 2.0, 6, 1.0]"
Lu1B2C1,"[71, 1.0, 5, 2.0, 6, 1.0]"
Th1B2C1,"[90, 1.0, 5, 2.0, 6, 1.0]"
Mg1B2C2,"[12, 1.0, 5, 2.0, 6, 2.0]"
Ca1B2C2,"[20, 1.0, 5, 2.0, 6, 2.0]"
Y1B2C2,"[39, 1.0, 5, 2.0, 6, 2.0]"
La1B2C2,"[57, 1.0, 5, 2.0, 6, 2.0]"
Ce1B2C2,"[58, 1.0, 5, 2.0, 6, 2.0]"
Pr1B2C2,"[59, 1.0, 5, 2.0, 6, 2.0]"
Nd1B2C2,"[60, 1.0, 5, 2.0, 6, 2.0]"
Sm1B2C2,"[62, 1.0, 5, 2.0, 6, 2.0]"
Gd1B2C2,"[64, 1.0, 5, 2.0, 6, 2.0]"
Tb1B2C2,"[65, 1.0, 5, 2.0, 6, 2.0]"
Dy1B2C2,"[66, 1.0, 5, 2.0, 6, 2.0]"
Ho1B2C2,"[67, 1.0, 5, 2.0, 6, 2.0]"
Er1B2C2,"[68, 1.0, 5, 2.0, 6, 2.0]"
Ce6B2C3Br3,"[58, 6.0, 5, 2.0, 6, 3.0, 35, 3.0]"
Ca9B2C4Cl8,"[20, 9.0, 5, 2.0, 6, 4.0, 17, 8.0]"
Dy5B2C5,"[66, 5.0, 5, 2.0, 6, 5.0]"
Ca4Mn3B3C1O15,"[20, 4.0, 25, 3.0, 5, 3.0, 6, 1.0, 8, 15.0]"
Y2B3C2,"[39, 2.0, 5, 3.0, 6, 2.0]"
Gd2B3C2,"[64, 2.0, 5, 3.0, 6, 2.0]"
Gd4B3C4,"[64, 4.0, 5, 3.0, 6, 4.0]"
Tm4B3C4,"[69, 4.0, 5, 3.0, 6, 4.0]"
Lu4B3C4,"[71, 4.0, 5, 3.0, 6, 4.0]"
La9B3C6Br5,"[57, 9.0, 5, 3.0, 6, 6.0, 35, 5.0]"
Ce9B3C6Br5,"[58, 9.0, 5, 3.0, 6, 6.0, 35, 5.0]"
La9B3C6I5,"[57, 9.0, 5, 3.0, 6, 6.0, 53, 5.0]"
Tb2B4C1,"[65, 2.0, 5, 4.0, 6, 1.0]"
Dy2B4C1,"[66, 2.0, 5, 4.0, 6, 1.0]"
Ho2B4C1,"[67, 2.0, 5, 4.0, 6, 1.0]"
Er2B4C1,"[68, 2.0, 5, 4.0, 6, 1.0]"
Nb7B4C4,"[41, 7.0, 5, 4.0, 6, 4.0]"
Y16B4C8I19,"[39, 16.0, 5, 4.0, 6, 8.0, 53, 19.0]"
Th2Sc1B6C3,"[90, 2.0, 21, 1.0, 5, 6.0, 6, 3.0]"
Y21B7C14I18,"[39, 21.0, 5, 7.0, 6, 14.0, 53, 18.0]"
C1,"[6, 1.0]"
Na1W6C1Cl18,"[11, 1.0, 74, 6.0, 6, 1.0, 17, 18.0]"
