new_formula,composition_vector
Ba1Mg2Si2,"[56, 1.0, 12, 2.0, 14, 2.0]"
La1Mg2Si2,"[57, 1.0, 12, 2.0, 14, 2.0]"
Ce1Mg2Si2,"[58, 1.0, 12, 2.0, 14, 2.0]"
La6Mg23Si1,"[57, 6.0, 12, 23.0, 14, 1.0]"
Ba2Mg3Si4,"[56, 2.0, 12, 3.0, 14, 4.0]"
Mg3Si8Ir3,"[12, 3.0, 14, 8.0, 77, 3.0]"
Ba1Mg4Si3,"[56, 1.0, 12, 4.0, 14, 3.0]"
Ca3Be2Si3H2O12,"[20, 3.0, 4, 2.0, 14, 3.0, 1, 2.0, 8, 12.0]"
Ca4Be2Al2Si9H2O28,"[20, 4.0, 4, 2.0, 13, 2.0, 14, 9.0, 1, 2.0, 8, 28.0]"
Be4Si2H2O9,"[4, 4.0, 14, 2.0, 1, 2.0, 8, 9.0]"
Mg5Si16Pd10,"[12, 5.0, 14, 16.0, 46, 10.0]"
Mg5Si16Pt10,"[12, 5.0, 14, 16.0, 78, 10.0]"
Eu3Mg5Si5,"[63, 3.0, 12, 5.0, 14, 5.0]"
Na1Mn2Si3B1H2O11,"[11, 1.0, 25, 2.0, 14, 3.0, 5, 1.0, 1, 2.0, 8, 11.0]"
Mn4Si4Sn1B2H2O18,"[25, 4.0, 14, 4.0, 50, 1.0, 5, 2.0, 1, 2.0, 8, 18.0]"
Mg6Si7Ni16,"[12, 6.0, 14, 7.0, 28, 16.0]"
Mg6Cu16Si7,"[12, 6.0, 29, 16.0, 14, 7.0]"
K2Ti1Si3H2O10,"[19, 2.0, 22, 1.0, 14, 3.0, 1, 2.0, 8, 10.0]"
K2Zr1Si3H2O10,"[19, 2.0, 40, 1.0, 14, 3.0, 1, 2.0, 8, 10.0]"
K3Tb1Si3H2O10,"[19, 3.0, 65, 1.0, 14, 3.0, 1, 2.0, 8, 10.0]"
K3Er1Si3H2O10,"[19, 3.0, 68, 1.0, 14, 3.0, 1, 2.0, 8, 10.0]"
Na3V1Si4H2O12,"[11, 3.0, 23, 1.0, 14, 4.0, 1, 2.0, 8, 12.0]"
Mg3Si4H2O12,"[12, 3.0, 14, 4.0, 1, 2.0, 8, 12.0]"
Cs2Si1P4H2O14,"[55, 2.0, 14, 1.0, 15, 4.0, 1, 2.0, 8, 14.0]"
Ba1Si1P4H2O14,"[56, 1.0, 14, 1.0, 15, 4.0, 1, 2.0, 8, 14.0]"
Ca2Mg5Si8H2O24,"[20, 2.0, 12, 5.0, 14, 8.0, 1, 2.0, 8, 24.0]"
Ca2Ga2Si1H2O8,"[20, 2.0, 31, 2.0, 14, 1.0, 1, 2.0, 8, 8.0]"
Al11Co6Si6,"[13, 11.0, 27, 6.0, 14, 6.0]"
Ca1Al1Si1,"[20, 1.0, 13, 1.0, 14, 1.0]"
Sr1Al1Si1,"[38, 1.0, 13, 1.0, 14, 1.0]"
Y1Al1Si1,"[39, 1.0, 13, 1.0, 14, 1.0]"
Ba1Al1Si1,"[56, 1.0, 13, 1.0, 14, 1.0]"
Ce1Al1Si1,"[58, 1.0, 13, 1.0, 14, 1.0]"
Sm1Al1Si1,"[62, 1.0, 13, 1.0, 14, 1.0]"
Dy1Al1Si1,"[66, 1.0, 13, 1.0, 14, 1.0]"
Ho1Al1Si1,"[67, 1.0, 13, 1.0, 14, 1.0]"
Er1Al1Si1,"[68, 1.0, 13, 1.0, 14, 1.0]"
Tm1Al1Si1,"[69, 1.0, 13, 1.0, 14, 1.0]"
Lu1Al1Si1,"[71, 1.0, 13, 1.0, 14, 1.0]"
Sc2Al1Si2,"[21, 2.0, 13, 1.0, 14, 2.0]"
Al1Co2Si2,"[13, 1.0, 27, 2.0, 14, 2.0]"
Y2Al1Si2,"[39, 2.0, 13, 1.0, 14, 2.0]"
La1Al1Si2,"[57, 1.0, 13, 1.0, 14, 2.0]"
Pr1Al1Si2,"[59, 1.0, 13, 1.0, 14, 2.0]"
Ho2Al1Si2,"[67, 2.0, 13, 1.0, 14, 2.0]"
Er2Al1Si2,"[68, 2.0, 13, 1.0, 14, 2.0]"
Tm2Al1Si2,"[69, 2.0, 13, 1.0, 14, 2.0]"
Lu2Al1Si2,"[71, 2.0, 13, 1.0, 14, 2.0]"
K1Si1H3,"[19, 1.0, 14, 1.0, 1, 3.0]"
Si1H3I1,"[14, 1.0, 1, 3.0, 53, 1.0]"
Ca1Al2Si2,"[20, 1.0, 13, 2.0, 14, 2.0]"
Sr1Al2Si2,"[38, 1.0, 13, 2.0, 14, 2.0]"
Sr3Al2Si2,"[38, 3.0, 13, 2.0, 14, 2.0]"
Y1Al2Si2,"[39, 1.0, 13, 2.0, 14, 2.0]"
Ba1Al2Si2,"[56, 1.0, 13, 2.0, 14, 2.0]"
Ba3Al2Si2,"[56, 3.0, 13, 2.0, 14, 2.0]"
